date,open,high,low,close,volume
1985/01/02,7.57,7.57,7.57,7.57,2500
1985/01/03,7.68,7.68,7.68,7.68,100
1985/01/04,7.57,7.57,7.57,7.57,700
1985/01/07,7.57,7.57,7.57,7.57,1000
1985/01/08,7.68,7.68,7.68,7.68,1700
1985/01/09,7.87,7.87,7.87,7.87,18100
1985/01/10,7.95,7.95,7.95,7.95,300
1985/01/11,7.68,7.68,7.68,7.68,13900
1985/01/14,7.68,7.68,7.68,7.68,7300
1985/01/15,7.68,7.68,7.68,7.68,2500
1985/01/16,7.79,7.79,7.79,7.79,1100
1985/01/17,7.79,7.79,7.79,7.79,1900
1985/01/18,7.79,7.79,7.79,7.79,18200
1985/01/21,8.06,8.06,8.06,8.06,24600
1985/01/22,7.87,7.87,7.87,7.87,600
1985/01/23,7.87,7.87,7.87,7.87,5100
1985/01/24,7.95,7.95,7.95,7.95,99400
1985/01/25,8.17,8.17,8.17,8.17,218100
1985/01/28,8.28,8.28,8.28,8.28,254100
1985/01/29,8.36,8.36,8.36,8.36,79800
1985/01/30,8.36,8.36,8.36,8.36,20700
1985/01/31,8.28,8.28,8.28,8.28,20700
1985/02/01,7.95,7.95,7.95,7.95,62300
1985/02/04,7.87,7.87,7.87,7.87,128700
1985/02/05,7.87,7.87,7.87,7.87,185900
1985/02/06,7.87,7.87,7.87,7.87,318900
1985/02/07,7.87,7.87,7.87,7.87,21300
1985/02/08,7.79,7.79,7.79,7.79,50300
1985/02/11,7.79,7.79,7.79,7.79,36900
1985/02/12,7.79,7.79,7.79,7.79,700
1985/02/13,7.82,7.82,7.82,7.82,51000
1985/02/14,7.95,7.95,7.95,7.95,54600
1985/02/15,8.06,8.06,8.06,8.06,93800
1985/02/19,7.95,7.95,7.95,7.95,20300
1985/02/20,7.95,7.95,7.95,7.95,82900
1985/02/21,7.95,7.95,7.95,7.95,7900
1985/02/22,7.95,7.95,7.95,7.95,27700
1985/02/25,7.87,7.87,7.87,7.87,4600
1985/02/26,7.95,7.95,7.95,7.95,47900
1985/02/27,7.95,7.95,7.95,7.95,1300
1985/02/28,7.87,7.87,7.87,7.87,100
1985/03/01,7.87,7.87,7.87,7.87,30000
1985/03/04,7.95,7.95,7.95,7.95,126000
1985/03/05,8.06,8.06,8.06,8.06,24200
1985/03/06,7.95,7.95,7.95,7.95,20100
1985/03/07,7.95,7.95,7.95,7.95,45400
1985/03/08,8.06,8.06,8.06,8.06,16400
1985/03/11,8.06,8.06,8.06,8.06,25700
1985/03/12,8.06,8.06,8.06,8.06,14100
1985/03/13,8.06,8.06,8.06,8.06,40400
1985/03/14,8.06,8.06,8.06,8.06,1100
1985/03/15,8.06,8.06,8.06,8.06,600
1985/03/18,8.06,8.06,8.06,8.06,1800
1985/03/19,8.36,8.36,8.36,8.36,68100
1985/03/20,8.17,8.17,8.17,8.17,37700
1985/03/21,8.17,8.17,8.17,8.17,4600
1985/03/22,8.06,8.06,8.06,8.06,6000
1985/03/25,8.06,8.06,8.06,8.06,16600
1985/03/26,7.95,7.95,7.95,7.95,25500
1985/03/27,7.95,7.95,7.95,7.95,97100
1985/03/28,7.87,7.87,7.87,7.87,103400
1985/03/29,7.87,7.87,7.87,7.87,29400
1985/04/01,7.87,7.87,7.87,7.87,31300
1985/04/02,7.79,7.79,7.79,7.79,8000
1985/04/03,7.68,7.68,7.68,7.68,153100
1985/04/04,7.57,7.57,7.57,7.57,7300
1985/04/08,7.57,7.57,7.57,7.57,6800
1985/04/09,7.68,7.68,7.68,7.68,3700
1985/04/10,7.68,7.68,7.68,7.68,1600
1985/04/11,7.68,7.68,7.68,7.68,307900
1985/04/12,7.68,7.68,7.68,7.68,191900
1985/04/15,7.68,7.68,7.68,7.68,108400
1985/04/16,7.46,7.46,7.46,7.46,61500
1985/04/17,7.57,7.57,7.57,7.57,10700
1985/04/18,7.57,7.57,7.57,7.57,85100
1985/04/19,7.82,7.82,7.82,7.82,18400
1985/04/22,7.82,7.82,7.82,7.82,1900
1985/04/23,7.87,7.87,7.87,7.87,20300
